ts,visitors_24h,pageviews_24h,visitors_1h,pageviews_1h,visitors_30m,top_path,top_referrer,top_utm_source
"2026-07-25T01:21:39Z",40,46,4,4,0,"/grader","news.ycombinator.com","bsky"
"2026-07-25T04:46:54Z",45,57,0,0,0,"/grader","news.ycombinator.com","bsky"
"2026-07-25T05:41:08Z",45,57,0,0,0,"/grader","news.ycombinator.com","bsky"
"2026-07-25T07:44:12Z",48,61,3,4,0,"/grader","news.ycombinator.com","bsky"
"2026-07-25T09:22:14Z",48,61,0,0,0,"/grader","news.ycombinator.com","bsky"
"2026-07-25T10:51:32Z",48,62,1,1,0,"/grader","news.ycombinator.com","bsky"
"2026-07-25T12:01:35Z",52,66,3,3,0,"/grader","news.ycombinator.com","bsky"
